"Job URL","Spend","Hire Rate","Interviewing","Invites Sent","Matched Keywords"
"https://www.upwork.com/jobs/Operations-Manager_~021927209396979821097/","$Infinity","44%","0","0","crm"
"https://www.upwork.com/jobs/Social-Media-Graphic-Designer-Adobe-Illustrator-Photoshop-Motion-Graphics-Bonus-SEA-Based_~021927209323083844430/","$Infinity","77%","0","0","marketing; digital marketing; social media; graphic design; branding; canva; photoshop; illustrator; reels; after effects; premiere pro; motion graphics; wordpress; elementor"
"https://www.upwork.com/jobs/Urgent-Accountant-Needed-for-and-Tax-Returns_~021927194326439852284/","$8.505502024202421e+99","100%","0","0","shopify"
"https://www.upwork.com/jobs/Hand-Painting-Studio-Needed-Embellish-Animation-Frames-for-Short-Film_~021927174709644610382/","$Infinity","100%","0","0","graphic design; photoshop; motion graphics"
"https://www.upwork.com/jobs/Voice-Over_~021927162046600059664/","$4.500030530405402e+62","47%","0","0","video editing"
"https://www.upwork.com/jobs/Social-Media-Manager-and-Photo-Editor-Needed_~021927147865083988814/","$2.105103053020232e+28","100%","0","0","marketing; social media; graphic design; photoshop"
"https://www.upwork.com/jobs/Develop-Common-Core-Standards-for-High-School-Farming-Fundamentals-Workbook_~021927196449150061390/","$Infinity","100%","0","0","canva; motion graphics; shopify; content writing"
"https://www.upwork.com/jobs/Need-Blog-GURU-suggest-clear-improvements-our-articles-content-and-structure_~021927176361135034928/","$Infinity","34%","0","0","social media; wordpress; elementor; seo"
"https://www.upwork.com/jobs/Full-Time-Remote-Position-Fluent-Arabic-English_~021927193662852942670/","$Infinity","30%","0","0","marketing; digital marketing; social media; shopify"
"https://www.upwork.com/jobs/Connecting-Personal-Tiktok-account-with-TikTok-account_~021927204294136199420/","$Infinity","73%","0","0","social media; google ads; video editing"
"https://www.upwork.com/jobs/Marketing-Assistant-Needed-for-Self-Published-Philosophy-Book_~021927178731331656464/","$2.5055020232023282e+41","100%","0","0","marketing; social media"
"https://www.upwork.com/jobs/Lead-Generation-Appointment-Setter-for-MSSP-Cybersecurity-Services-for-SMBs_~021927176931231793913/","$Infinity","59%","0","0","marketing; crm"
"https://www.upwork.com/jobs/Bubble-Developer-Wanted-Long-Term-Opportunity-MVP-Growth-Phase_~021927168262999362382/","$Infinity","60%","0","0","wordpress; landing page"
"https://www.upwork.com/jobs/Admin-Assistant_~021927142910759522864/","$Infinity","38%","0","0","crm"
"https://www.upwork.com/jobs/Creative-Direction-for-Product-Page-Content_~021927148508927158825/","$Infinity","100%","0","0","marketing; graphic design; shopify; content writing; copywriting"
"https://www.upwork.com/jobs/Compliance-South-Africa_~021927199334919293775/","$Infinity","100%","0","0","graphic design"
"https://www.upwork.com/jobs/Japanese-cold-call_~021927200581818765872/","$Infinity","40%","0","0","marketing"
"https://www.upwork.com/jobs/Crash-logging-system-for-QML-Android-app_~021927151688493701904/","$5.4854850550202525e+93","67%","0","0","photoshop; reporting"
"https://www.upwork.com/jobs/Market-research-interior-design-singapore-only_~021927205475179024944/","$Infinity","77%","0","0","marketing; social media; graphic design"
"https://www.upwork.com/jobs/Looking-for-Local-Travel-Planner-Italy-English-Speaker_~021927175040066197545/","$Infinity","45%","0","0","video editing; shopify; landing page; web development"
"https://www.upwork.com/jobs/Design-Shed-for-Back-Yard-Apply-for-Permit-with-City_~021927184873206567472/","$Infinity","52%","0","0","video editing"
